order_id	member_id	order_date	status	total_amount
2095	10210	2026-09-26	paid	9540.00
2096	10210	2026-09-27	paid	14140.00
2097	10210	2026-09-28	paid	8210.00
2098	10210	2026-09-29	paid	10650.00
2099	10210	2026-09-30	paid	1460.00
3000	301	2026-03-19	cancelled	2600.00
3001	301	2026-03-20	paid	4220.00
3002	1301	2026-03-21	paid	3610.00
3003	1301	2026-03-22	paid	3370.00
3004	1301	2026-03-23	paid	3500.00
3005	10301	2026-03-24	paid	5750.00
3006	10301	2026-03-25	paid	8420.00
3007	10301	2026-03-26	paid	7110.00
3008	10301	2026-03-27	paid	6170.00
3009	10301	2026-03-28	paid	5600.00
3010	302	2026-03-29	paid	8900.00
3011	302	2026-03-30	paid	12620.00
3012	1302	2026-03-31	paid	10610.00
3013	1302	2026-04-01	paid	8970.00
3014	1302	2026-04-02	paid	7700.00
3015	10302	2026-04-03	paid	12050.00
3016	10302	2026-04-04	paid	16820.00
3017	10302	2026-04-05	paid	14110.00
3018	10302	2026-04-06	paid	11770.00
3019	10302	2026-04-07	paid	9800.00
3020	303	2026-04-08	cancelled	15200.00
3021	303	2026-04-09	paid	21020.00
3022	1303	2026-04-10	paid	17610.00
3023	1303	2026-04-11	paid	14570.00
3024	1303	2026-04-12	paid	5900.00
3025	10303	2026-04-13	paid	4350.00
3026	10303	2026-04-14	paid	7220.00
3027	10303	2026-04-15	paid	1110.00
3028	10303	2026-04-16	paid	1370.00
3029	10303	2026-04-17	paid	2000.00
3030	304	2026-04-18	paid	3500.00
3031	304	2026-04-19	paid	5420.00
3032	1304	2026-04-20	paid	4610.00
3033	1304	2026-04-21	paid	4170.00
3034	1304	2026-04-22	paid	4100.00
3035	10304	2026-04-23	paid	6650.00
3036	10304	2026-04-24	paid	9620.00
3037	10304	2026-04-25	paid	8110.00
3038	10304	2026-04-26	paid	6970.00
3039	10304	2026-04-27	paid	6200.00
3040	305	2026-04-28	cancelled	9800.00
3041	305	2026-04-29	paid	13820.00
3042	1305	2026-04-30	paid	11610.00
3043	1305	2026-05-01	paid	9770.00
3044	1305	2026-05-02	paid	8300.00
3045	10305	2026-05-03	paid	12950.00
3046	10305	2026-05-04	paid	18020.00
3047	10305	2026-05-05	paid	15110.00
3048	10305	2026-05-06	paid	12570.00
3049	10305	2026-05-07	paid	10400.00
3050	306	2026-05-08	paid	16100.00
3051	306	2026-05-09	paid	22220.00
3052	1306	2026-05-10	paid	16610.00
3053	1306	2026-05-11	paid	11370.00
3054	1306	2026-05-12	paid	2500.00
3055	10306	2026-05-13	paid	5250.00
3056	10306	2026-05-14	paid	2420.00
3057	10306	2026-05-15	paid	2110.00
3058	10306	2026-05-16	paid	2170.00
3059	10306	2026-05-17	paid	2600.00
3060	307	2026-05-18	cancelled	4400.00
3061	307	2026-05-19	paid	6620.00
3062	1307	2026-05-20	paid	5610.00
3063	1307	2026-05-21	paid	4970.00
3064	1307	2026-05-22	paid	4700.00
3065	10307	2026-05-23	paid	7550.00
3066	10307	2026-05-24	paid	10820.00
3067	10307	2026-05-25	paid	9110.00
3068	10307	2026-05-26	paid	7770.00
3069	10307	2026-05-27	paid	6800.00
3070	308	2026-05-28	paid	10700.00
3071	308	2026-05-29	paid	15020.00
3072	1308	2026-05-30	paid	12610.00
3073	1308	2026-05-31	paid	10570.00
3074	1308	2026-06-01	paid	8900.00
3075	10308	2026-06-02	paid	13850.00
3076	10308	2026-06-03	paid	19220.00
3077	10308	2026-06-04	paid	16110.00
3078	10308	2026-06-05	paid	13370.00
3079	10308	2026-06-06	paid	11000.00
3080	309	2026-06-07	cancelled	17000.00
3081	309	2026-06-08	paid	13420.00
3082	1309	2026-06-09	paid	17610.00
3083	1309	2026-06-10	paid	10170.00
3084	1309	2026-06-11	paid	1100.00
3085	10309	2026-06-12	paid	2150.00
3086	10309	2026-06-13	paid	3620.00
3087	10309	2026-06-14	paid	3110.00
3088	10309	2026-06-15	paid	2970.00
3089	10309	2026-06-16	paid	3200.00
3090	310	2026-06-17	paid	5300.00
3091	310	2026-06-18	paid	7820.00
3092	1310	2026-06-19	paid	6610.00
3093	1310	2026-06-20	paid	5770.00
3094	1310	2026-06-21	paid	5300.00
3095	10310	2026-06-22	paid	8450.00
3096	10310	2026-06-23	paid	12020.00
3097	10310	2026-06-24	paid	10110.00
3098	10310	2026-06-25	paid	8570.00
3099	10310	2026-06-26	paid	7400.00
4000	401	2025-12-13	cancelled	2600.00
4001	401	2025-12-14	paid	4220.00
4002	1401	2025-12-15	paid	3610.00
4003	1401	2025-12-16	paid	3370.00
4004	1401	2025-12-17	paid	3500.00
4005	10401	2025-12-18	paid	5750.00
4006	10401	2025-12-19	paid	8420.00
4007	10401	2025-12-20	paid	7110.00
4008	10401	2025-12-21	paid	6170.00
4009	10401	2025-12-22	paid	5600.00
4010	402	2025-12-23	paid	8900.00
4011	402	2025-12-24	paid	12620.00
4012	1402	2025-12-25	paid	10610.00
4013	1402	2025-12-26	paid	8970.00
4014	1402	2025-12-27	paid	7700.00
4015	10402	2025-12-28	paid	12050.00
4016	10402	2025-12-29	paid	16820.00
4017	10402	2025-12-30	paid	14110.00
4018	10402	2025-12-31	paid	11770.00
4019	10402	2026-01-01	paid	9800.00
4020	403	2026-01-02	cancelled	15200.00
4021	403	2026-01-03	paid	21020.00
4022	1403	2026-01-04	paid	17610.00
4023	1403	2026-01-05	paid	14570.00
4024	1403	2026-01-06	paid	5900.00
4025	10403	2026-01-07	paid	4350.00
4026	10403	2026-01-08	paid	7220.00
4027	10403	2026-01-09	paid	1110.00
4028	10403	2026-01-10	paid	1370.00
4029	10403	2026-01-11	paid	2000.00
4030	404	2026-01-12	paid	3500.00
4031	404	2026-01-13	paid	5420.00
4032	1404	2026-01-14	paid	4610.00
4033	1404	2026-01-15	paid	4170.00
4034	1404	2026-01-16	paid	4100.00
4035	10404	2026-01-17	paid	6650.00
4036	10404	2026-01-18	paid	9620.00
4037	10404	2026-01-19	paid	8110.00
4038	10404	2026-01-20	paid	6970.00
4039	10404	2026-01-21	paid	6200.00
4040	405	2026-01-22	cancelled	9800.00
4041	405	2026-01-23	paid	13820.00
4042	1405	2026-01-24	paid	11610.00
4043	1405	2026-01-25	paid	9770.00
4044	1405	2026-01-26	paid	8300.00
4045	10405	2026-01-27	paid	12950.00
4046	10405	2026-01-28	paid	18020.00
4047	10405	2026-01-29	paid	15110.00
4048	10405	2026-01-30	paid	12570.00
4049	10405	2026-01-31	paid	10400.00
4050	406	2026-02-01	paid	16100.00
4051	406	2026-02-02	paid	22220.00
4052	1406	2026-02-03	paid	16610.00
4053	1406	2026-02-04	paid	11370.00
4054	1406	2026-02-05	paid	2500.00
4055	10406	2026-02-06	paid	5250.00
4056	10406	2026-02-07	paid	2420.00
4057	10406	2026-02-08	paid	2110.00
4058	10406	2026-02-09	paid	2170.00
4059	10406	2026-02-10	paid	2600.00
4060	407	2026-02-11	cancelled	4400.00
4061	407	2026-02-12	paid	6620.00
4062	1407	2026-02-13	paid	5610.00
4063	1407	2026-02-14	paid	4970.00
4064	1407	2026-02-15	paid	4700.00
4065	10407	2026-02-16	paid	7550.00
4066	10407	2026-02-17	paid	10820.00
4067	10407	2026-02-18	paid	8100.00
4068	10407	2026-02-19	paid	5750.00
4069	10407	2026-02-20	paid	1750.00
4070	408	2026-02-21	paid	1610.00
4071	408	2026-02-22	paid	2900.00
4072	1408	2026-02-23	paid	2510.00
4073	1408	2026-02-24	paid	2490.00
4074	1408	2026-02-25	paid	2840.00
4075	10408	2026-02-26	paid	4760.00
4076	10408	2026-02-27	paid	7100.00
4077	10408	2026-02-28	paid	6010.00
4078	10408	2026-03-01	paid	5290.00
4079	10408	2026-03-02	paid	4940.00
4080	409	2026-03-03	cancelled	7910.00
4081	409	2026-03-04	paid	11300.00
4082	1409	2026-03-05	paid	9510.00
4083	1409	2026-03-06	paid	8090.00
4084	1409	2026-03-07	paid	7040.00
4085	10409	2026-03-08	paid	11060.00
4086	10409	2026-03-09	paid	15500.00
4087	10409	2026-03-10	paid	13010.00
4088	10409	2026-03-11	paid	10890.00
4089	10409	2026-03-12	paid	9140.00
4090	410	2026-03-13	paid	14210.00
4091	410	2026-03-14	paid	19700.00
4092	1410	2026-03-15	paid	16510.00
4093	1410	2026-03-16	paid	13690.00
4094	1410	2026-03-17	paid	11240.00
4095	10410	2026-03-18	paid	9360.00
4096	10410	2026-03-19	paid	13900.00
4097	10410	2026-03-20	paid	8010.00
4098	10410	2026-03-21	paid	10490.00
4099	10410	2026-03-22	paid	1340.00
5000	501	2025-09-08	cancelled	11510.00
5001	501	2025-09-09	paid	16100.00
5002	1501	2025-09-10	paid	13510.00
5003	1501	2025-09-11	paid	11290.00
5004	1501	2025-09-12	paid	9440.00
5005	10501	2025-09-13	paid	14660.00
5006	10501	2025-09-14	paid	20300.00
5007	10501	2025-09-15	paid	17010.00
5008	10501	2025-09-16	paid	14090.00
5009	10501	2025-09-17	paid	5540.00
5010	502	2025-09-18	paid	9810.00
5011	502	2025-09-19	paid	6500.00
5012	1502	2025-09-20	paid	8510.00
5013	1502	2025-09-21	paid	890.00
5014	1502	2025-09-22	paid	1640.00
5015	10502	2025-09-23	paid	2960.00
5016	10502	2025-09-24	paid	4700.00
5017	10502	2025-09-25	paid	4010.00
5018	10502	2025-09-26	paid	3690.00
5019	10502	2025-09-27	paid	3740.00
5020	503	2025-09-28	cancelled	6110.00
5021	503	2025-09-29	paid	8900.00
5022	1503	2025-09-30	paid	7510.00
5023	1503	2025-10-01	paid	6490.00
5024	1503	2025-10-02	paid	5840.00
5025	10503	2025-10-03	paid	9260.00
5026	10503	2025-10-04	paid	13100.00
5027	10503	2025-10-05	paid	11010.00
5028	10503	2025-10-06	paid	9290.00
5029	10503	2025-10-07	paid	7940.00
5030	504	2025-10-08	paid	12410.00
5031	504	2025-10-09	paid	17300.00
5032	1504	2025-10-10	paid	14510.00
5033	1504	2025-10-11	paid	12090.00
5034	1504	2025-10-12	paid	10040.00
5035	10504	2025-10-13	paid	15560.00
5036	10504	2025-10-14	paid	21500.00
5037	10504	2025-10-15	paid	18010.00
5038	10504	2025-10-16	paid	10890.00
5039	10504	2025-10-17	paid	6140.00
5040	505	2025-10-18	cancelled	4710.00
5041	505	2025-10-19	paid	7700.00
5042	1505	2025-10-20	paid	1510.00
5043	1505	2025-10-21	paid	1690.00
5044	1505	2025-10-22	paid	2240.00
5045	10505	2025-10-23	paid	3860.00
5046	10505	2025-10-24	paid	5900.00
5047	10505	2025-10-25	paid	5010.00
5048	10505	2025-10-26	paid	4490.00
5049	10505	2025-10-27	paid	4340.00
5050	506	2025-10-28	paid	7010.00
5051	506	2025-10-29	paid	10100.00
5052	1506	2025-10-30	paid	8510.00
5053	1506	2025-10-31	paid	7290.00
5054	1506	2025-11-01	paid	6440.00
5055	10506	2025-11-02	paid	10160.00
5056	10506	2025-11-03	paid	14300.00
5057	10506	2025-11-04	paid	12010.00
5058	10506	2025-11-05	paid	10090.00
5059	10506	2025-11-06	paid	8540.00
5060	507	2025-11-07	cancelled	13310.00
5061	507	2025-11-08	paid	18500.00
5062	1507	2025-11-09	paid	15510.00
5063	1507	2025-11-10	paid	12890.00
5064	1507	2025-11-11	paid	10640.00
5065	10507	2025-11-12	paid	16460.00
5066	10507	2025-11-13	paid	22700.00
5067	10507	2025-11-14	paid	17010.00
5068	10507	2025-11-15	paid	9690.00
5069	10507	2025-11-16	paid	2740.00
5070	508	2025-11-17	paid	1610.00
5071	508	2025-11-18	paid	2900.00
5072	1508	2025-11-19	paid	2510.00
5073	1508	2025-11-20	paid	2490.00
5074	1508	2025-11-21	paid	2840.00
5075	10508	2025-11-22	paid	4760.00
5076	10508	2025-11-23	paid	7100.00
5077	10508	2025-11-24	paid	6010.00
5078	10508	2025-11-25	paid	5290.00
5079	10508	2025-11-26	paid	4940.00
5080	509	2025-11-27	cancelled	7910.00
5081	509	2025-11-28	paid	11300.00
5082	1509	2025-11-29	paid	9510.00
5083	1509	2025-11-30	paid	8090.00
5084	1509	2025-12-01	paid	7040.00
5085	10509	2025-12-02	paid	11060.00
5086	10509	2025-12-03	paid	15500.00
5087	10509	2025-12-04	paid	13010.00
5088	10509	2025-12-05	paid	10890.00
5089	10509	2025-12-06	paid	9140.00
5090	510	2025-12-07	paid	14210.00
5091	510	2025-12-08	paid	19700.00
5092	1510	2025-12-09	paid	16510.00
5093	1510	2025-12-10	paid	13690.00
5094	1510	2025-12-11	paid	11240.00
5095	10510	2025-12-12	paid	9360.00
5096	10510	2025-12-13	paid	13900.00
5097	10510	2025-12-14	paid	8010.00
5098	10510	2025-12-15	paid	10490.00
5099	10510	2025-12-16	paid	1340.00
6000	601	2025-06-04	cancelled	2420.00
6001	601	2025-06-05	paid	3980.00
6002	1601	2025-06-06	paid	3410.00
6003	1601	2025-06-07	paid	3210.00
6004	1601	2025-06-08	paid	3380.00
6005	10601	2025-06-09	paid	5570.00
6006	10601	2025-06-10	paid	8180.00
6007	10601	2025-06-11	paid	6910.00
6008	10601	2025-06-12	paid	6010.00
6009	10601	2025-06-13	paid	5480.00
6010	602	2025-06-14	paid	8720.00
6011	602	2025-06-15	paid	12380.00
6012	1602	2025-06-16	paid	10410.00
6013	1602	2025-06-17	paid	8810.00
6014	1602	2025-06-18	paid	7580.00
6015	10602	2025-06-19	paid	11870.00
6016	10602	2025-06-20	paid	16580.00
6017	10602	2025-06-21	paid	13910.00
6018	10602	2025-06-22	paid	11610.00
6019	10602	2025-06-23	paid	9680.00
6020	603	2025-06-24	cancelled	15020.00
6021	603	2025-06-25	paid	20780.00
6022	1603	2025-06-26	paid	17410.00
6023	1603	2025-06-27	paid	14410.00
6024	1603	2025-06-28	paid	5780.00
6025	10603	2025-06-29	paid	10170.00
6026	10603	2025-06-30	paid	6980.00
6027	10603	2025-07-01	paid	8910.00
6028	10603	2025-07-02	paid	1210.00
6029	10603	2025-07-03	paid	1880.00
6030	604	2025-07-04	paid	3320.00
6031	604	2025-07-05	paid	5180.00
6032	1604	2025-07-06	paid	4410.00
6033	1604	2025-07-07	paid	4010.00
6034	1604	2025-07-08	paid	3980.00
6035	10604	2025-07-09	paid	6470.00
6036	10604	2025-07-10	paid	9380.00
6037	10604	2025-07-11	paid	7910.00
6038	10604	2025-07-12	paid	6810.00
6039	10604	2025-07-13	paid	6080.00
6040	605	2025-07-14	cancelled	9620.00
6041	605	2025-07-15	paid	13580.00
6042	1605	2025-07-16	paid	11410.00
6043	1605	2025-07-17	paid	9610.00
6044	1605	2025-07-18	paid	8180.00
6045	10605	2025-07-19	paid	12770.00
6046	10605	2025-07-20	paid	17780.00
6047	10605	2025-07-21	paid	14910.00
6048	10605	2025-07-22	paid	12410.00
6049	10605	2025-07-23	paid	10280.00
6050	606	2025-07-24	paid	15920.00
6051	606	2025-07-25	paid	21980.00
6052	1606	2025-07-26	paid	16410.00
6053	1606	2025-07-27	paid	11210.00
6054	1606	2025-07-28	paid	2380.00
6055	10606	2025-07-29	paid	5070.00
6056	10606	2025-07-30	paid	2180.00
6057	10606	2025-07-31	paid	1910.00
6058	10606	2025-08-01	paid	2010.00
6059	10606	2025-08-02	paid	2480.00
6060	607	2025-08-03	cancelled	4220.00
6061	607	2025-08-04	paid	6380.00
6062	1607	2025-08-05	paid	5410.00
6063	1607	2025-08-06	paid	4810.00
6064	1607	2025-08-07	paid	4580.00
6065	10607	2025-08-08	paid	7370.00
6066	10607	2025-08-09	paid	10580.00
6067	10607	2025-08-10	paid	8910.00
6068	10607	2025-08-11	paid	7610.00
6069	10607	2025-08-12	paid	6680.00
6070	608	2025-08-13	paid	10520.00
6071	608	2025-08-14	paid	14780.00
6072	1608	2025-08-15	paid	12410.00
